State Name,City Name,Year,Month,datetime,latitude,longitude,Road Type,Road Condition,Lighting Conditions,Weather Conditions,Traffic Control Presence,Driver Age,Driver Gender,driver_experience,Driver License Status,driver_speed_habit(km/h),Alcohol Involvement,Vehicle Type Involved,vehicle_condition,Accident Severity
Gujarat,Junagadh,2022,April,19-06-2022 19:46,21.39617584,71.34830301,Village Road,Dry,Dawn,Stormy,Police Checkpost,55,Female,4 months,Valid,27,No,Cycle,poor,Fatal
Tripura,East Port-9,2023,June,21-04-2023 14:26,34.44961881,89.30329762,Village Road,Wet,Dusk,Clear,Signals,70,Male,10 months,Valid,107,Yes,Two-Wheeler,medium,Serious
West Bengal,Howrah-10,2018,February,19-02-2018 14:56,23.0054067,79.04365176,Urban Road,Wet,Daylight,Rainy,Police Checkpost,40,Female,3 yr,Valid,72,Yes,Cycle,poor,Minor
Uttar Pradesh,New City-24,2019,April,18-06-2019 19:13,25.56887028,90.7064239,State Highway,Dry,Dusk,Clear,Police Checkpost,75,Female,20 yr,Valid,148,No,Two-Wheeler,medium,Serious
Maharashtra,Nashik,2023,May,23-05-2023 12:02,22.98985764,79.00288559,Urban Road,Under Construction,Dusk,Hazy,Signs,49,Female,14 yr,Expired,13,No,Two-Wheeler,bad,Fatal
Tamil Nadu,Madurai,2019,January,09-08-2019 09:53,11.99314639,78.2685375,Urban Road,Dry,Dawn,Stormy,Signs,21,Female,7 months,Valid,144,Yes,Truck,poor,Fatal
Kerala,Thrissur-10,2020,January,22-01-2020 08:01,22.96414216,78.99274218,Urban Road,Under Construction,Dusk,Clear,Police Checkpost,20,Male,14 yr,Valid,70,No,Pedestrian,good,Fatal
Tamil Nadu,Tiruchirappalli,2023,April,19-09-2023 03:48,10.19006553,78.47074741,Village Road,Dry,Dark,Foggy,Signals,32,Male,4 months,Valid,116,No,Cycle,medium,Minor
Andhra Pradesh,West District-48,2021,August,27-10-2021 15:33,18.4055025,81.57800986,State Highway,Wet,Dark,Foggy,Police Checkpost,54,Female,2 yr,Expired,63,Yes,Two-Wheeler,good,Minor
Kerala,North Port-10,2018,March,18-01-2018 05:07,35.03374095,94.40558381,State Highway,Dry,Dusk,Hazy,Signs,71,Female,12 yr,Valid,97,No,Auto-Rickshaw,medium,Serious
Tamil Nadu,Tiruchirappalli,2022,June,26-04-2022 13:37,11.81905695,77.88511587,State Highway,Dry,Dawn,Rainy,Police Checkpost,23,Female,17 yr,Valid,77,No,Truck,average,Minor
Telangana,South Port-25,2019,March,28-12-2019 14:36,15.99340249,79.74660216,State Highway,Wet,Dark,Hazy,Signals,44,Female,6 months,Expired,138,No,Truck,average,Serious
Tripura,West Port-27,2020,February,27-09-2020 05:16,32.26318655,89.36982852,National Highway,Dry,Dark,Clear,Police Checkpost,61,Male,2 months,Valid,64,No,Car,medium,Minor
Rajasthan,Ajmer,2018,December,17-10-2018 22:02,25.09920896,74.43520733,Urban Road,Wet,Dawn,Clear,Signs,61,Female,5 months,Valid,12,Yes,Two-Wheeler,average,Serious
Karnataka,Kolar,2023,June,16-04-2023 09:05,15.09759033,74.43693773,Urban Road,Dry,Dusk,Clear,Police Checkpost,47,Female,17 yr,Valid,130,Yes,Bus,medium,Minor
West Bengal,Central Port-24,2020,April,24-09-2020 03:07,14.15165888,83.27072727,National Highway,Damaged,Dark,Foggy,Signs,72,Male,5 yr,Expired,138,Yes,Bus,bad,Minor
Maharashtra,Nagpur,2018,March,06-09-2018 11:07,16.80353839,73.59221574,Village Road,Wet,Dusk,Hazy,Signals,50,Male,2 yr,Valid,111,Yes,Two-Wheeler,bad,Minor
Rajasthan,Jaipur-3,2022,August,19-08-2022 00:42,26.97724902,74.2570411,Village Road,Damaged,Dusk,Stormy,Police Checkpost,48,Female,4 months,Expired,47,No,Truck,bad,Serious
Delhi,New City-25,2018,November,19-10-2018 11:42,11.82694745,94.00561989,National Highway,Wet,Dawn,Rainy,Police Checkpost,42,Female,17 yr,Expired,94,Yes,Bus,average,Minor
Mizoram,South Port-13,2022,September,03-01-2022 19:30,35.33570422,75.64291261,State Highway,Dry,Daylight,Stormy,Signals,26,Female,9 months,Valid,142,Yes,Bus,average,Serious
Maharashtra,Aurangabad,2018,July,26-02-2018 07:49,16.88430343,74.39547807,Village Road,Dry,Daylight,Hazy,Signs,32,Female,9 months,Valid,101,Yes,Cycle,bad,Minor
West Bengal,South Port-37,2020,July,09-08-2020 20:26,36.91557906,91.50215443,Village Road,Wet,Dark,Hazy,Signals,30,Female,26 yr,No license,30,No,Truck,poor,Serious
Puducherry,New Port-47,2021,July,21-09-2021 01:03,27.70118348,80.85734042,State Highway,Dry,Dusk,Hazy,Police Checkpost,49,Male,7 months,Valid,118,Yes,Truck,average,Minor
Haryana,South Port-19,2020,March,15-10-2020 00:32,29.58453936,77.2850985,Village Road,Wet,Dusk,Clear,Signals,47,Male,2 months,Valid,56,No,Two-Wheeler,average,Serious
Maharashtra,Nashik,2018,October,15-02-2018 15:58,16.67560624,76.57066333,National Highway,Wet,Dark,Clear,Signs,65,Male,18 yr,Valid,93,Yes,Two-Wheeler,good,Serious
Punjab,Patiala,2023,June,21-01-2023 07:37,31.17123864,75.47536299,National Highway,Wet,Dark,Stormy,Signs,24,Female,11 yr,Expired,92,Yes,Truck,good,Minor
Haryana,Hisar,2021,August,05-07-2021 11:29,27.33061644,77.32056111,Urban Road,Under Construction,Daylight,Hazy,Signals,64,Male,2 yr,Valid,44,Yes,Car,average,Serious
Andhra Pradesh,Vijayawada,2022,January,06-01-2022 07:51,22.96500649,79.03914645,National Highway,Dry,Dawn,Clear,Signs,51,Female,11 yr,Expired,78,No,Pedestrian,average,Serious
Tamil Nadu,Salem,2020,June,03-04-2020 02:40,8.35814786,77.95178807,National Highway,Wet,Dawn,Stormy,Signals,22,Male,4 yr,Valid,138,Yes,Pedestrian,medium,Serious
Madhya Pradesh,South City-35,2021,February,31-01-2021 04:13,26.47709488,79.55640292,National Highway,Dry,Dark,Stormy,Signs,42,Male,22 yr,Valid,149,No,Truck,poor,Minor
Goa,South Town-5,2018,August,07-12-2018 03:36,23.13135176,82.68097168,National Highway,Dry,Dark,Stormy,Signals,73,Male,10 yr,Valid,36,Yes,Bus,bad,Minor
Madhya Pradesh,Indore,2021,September,26-04-2021 06:54,23.03156406,75.76084766,National Highway,Dry,Dark,Foggy,Signals,45,Female,7 months,Valid,65,Yes,Auto-Rickshaw,medium,Minor
Manipur,Central Town-33,2020,September,25-09-2020 19:02,20.86922429,89.17155753,National Highway,Dry,Daylight,Hazy,Signals,76,Male,15 yr,Valid,32,Yes,Bus,bad,Serious
Haryana,Panipat,2021,August,15-09-2021 01:16,29.32165282,77.54565752,National Highway,Damaged,Dark,Foggy,Police Checkpost,64,Female,7 months,Valid,30,Yes,Two-Wheeler,average,Serious
West Bengal,West District-38,2023,February,04-09-2023 08:42,34.62443633,88.70927958,State Highway,Wet,Dawn,Stormy,Signs,19,Female,2 months,No license,70,No,Car,medium,Minor
Andhra Pradesh,North District-19,2018,August,11-05-2018 16:36,15.51379417,77.55715237,State Highway,Dry,Dark,Clear,Police Checkpost,31,Female,2 yr,Valid,72,Yes,Two-Wheeler,medium,Minor
Jharkhand,North City-43,2022,February,02-06-2022 08:05,15.69054323,72.5031581,National Highway,Wet,Dark,Foggy,Police Checkpost,42,Female,18 yr,Valid,131,No,Cycle,bad,Minor
Tamil Nadu,Salem,2019,November,09-09-2019 15:51,12.19731759,80.21564356,Village Road,Damaged,Dusk,Clear,Police Checkpost,79,Female,1 months,Valid,61,No,Cycle,medium,Serious
Maharashtra,Solapur,2019,August,06-07-2019 18:26,20.78712576,73.90989326,State Highway,Wet,Dark,Hazy,Signals,80,Male,13 yr,Valid,97,Yes,Cycle,poor,Fatal
Delhi,North District-18,2022,May,01-03-2022 16:10,35.15251732,71.74259224,Urban Road,Dry,Dusk,Stormy,Signs,22,Female,15 yr,Valid,64,No,Bus,average,Serious
Odisha,East City-40,2021,December,30-09-2021 10:18,25.43330029,91.77262081,National Highway,Wet,Dark,Hazy,Signs,63,Male,18 yr,Valid,55,Yes,Truck,average,Fatal
Bihar,West City-39,2023,October,28-07-2023 07:08,34.94354808,92.2639556,Urban Road,Damaged,Dark,Hazy,Police Checkpost,41,Male,3 months,Valid,41,Yes,Bus,bad,Fatal
Punjab,Patiala,2018,October,14-01-2018 21:25,30.13422435,75.06551728,National Highway,Wet,Dawn,Foggy,Police Checkpost,26,Female,11 yr,Valid,64,No,Bus,good,Minor
Tamil Nadu,Nagercoil,2023,May,13-07-2023 12:33,9.05462716,78.93494011,State Highway,Wet,Daylight,Rainy,Signs,29,Male,5 yr,Valid,105,Yes,Cycle,bad,Minor
Madhya Pradesh,Jabalpur,2019,August,23-06-2019 23:46,24.51105707,77.36119109,State Highway,Under Construction,Dusk,Clear,Signs,48,Male,11 months,Valid,142,Yes,Truck,poor,Fatal
Assam,North Town-20,2018,November,05-09-2018 15:35,28.78963832,82.98212758,Urban Road,Dry,Dusk,Foggy,Signals,61,Male,28 yr,Valid,45,No,Two-Wheeler,average,Minor
Punjab,Ludhiana-8,2019,September,08-09-2019 17:29,23.00419413,78.9540085,State Highway,Damaged,Dawn,Stormy,Signs,51,Female,5 months,Expired,119,Yes,Cycle,bad,Serious
Punjab,Patiala-3,2022,March,11-03-2022 20:13,23.04157605,79.02341768,Village Road,Damaged,Dawn,Rainy,Signals,24,Female,8 months,Expired,115,No,Auto-Rickshaw,average,Serious
Jammu and Kashmir,South Port-42,2023,December,17-03-2023 19:18,32.62890985,93.96447803,State Highway,Wet,Dark,Clear,Police Checkpost,18,Female,5 months,Valid,67,Yes,Bus,poor,Fatal
Odisha,Cuttack-12,2018,April,23-04-2018 12:55,23.03677171,79.04881365,Village Road,Wet,Dark,Rainy,Police Checkpost,34,Male,5 yr,Valid,48,No,Auto-Rickshaw,bad,Fatal
Sikkim,Gyalshing-21,2021,December,12-12-2021 18:49,27.49178355,88.47415997,National Highway,Dry,Dawn,Clear,Signals,24,Male,6 months,Valid,89,Yes,Bus,medium,Minor
Delhi,New District-42,2019,January,06-04-2019 01:26,33.71759174,81.38007405,National Highway,Dry,Dawn,Hazy,Signals,51,Female,26 yr,Valid,106,Yes,Two-Wheeler,average,Minor
Andhra Pradesh,Hyderabad,2023,August,31-03-2023 04:36,14.62718341,80.21160417,Village Road,Dry,Dark,Rainy,Signs,76,Female,30 yr,Valid,122,Yes,Car,good,Minor
Delhi,Central Port-48,2022,May,27-09-2022 11:59,13.93117611,77.4247824,Village Road,Dry,Dawn,Clear,Police Checkpost,48,Male,21 yr,Valid,70,No,Truck,good,Minor
Tamil Nadu,Vellore,2019,August,02-11-2019 05:48,11.96360188,79.01135858,National Highway,Wet,Dark,Rainy,Police Checkpost,77,Female,14 yr,Expired,146,No,Pedestrian,medium,Serious
Rajasthan,Bikaner-5,2023,November,09-11-2023 19:26,26.99181329,74.22269482,National Highway,Under Construction,Daylight,Rainy,Signals,61,Male,12 yr,Valid,15,Yes,Auto-Rickshaw,average,Fatal
Telangana,Warangal,2020,August,15-10-2020 18:20,18.7885866,80.98115575,State Highway,Dry,Daylight,Clear,Signals,44,Female,2 months,Valid,118,No,Auto-Rickshaw,average,Minor
Tamil Nadu,Tiruchirappalli,2021,March,11-02-2021 03:03,10.14152622,77.39653439,National Highway,Dry,Daylight,Clear,Signals,25,Male,19 yr,No license,44,No,Truck,medium,Minor
Uttarakhand,Rishikesh-25,2022,February,13-02-2022 17:45,23.00331239,78.98236766,National Highway,Damaged,Dark,Rainy,Police Checkpost,45,Male,4 yr,No license,48,No,Two-Wheeler,average,Serious
Andhra Pradesh,Visakhapatnam,2021,June,16-03-2021 03:26,13.97695097,80.65641775,Urban Road,Dry,Dusk,Clear,Police Checkpost,24,Male,5 yr,No license,127,No,Bus,average,Minor
Karnataka,Kolar,2021,December,14-01-2021 17:42,14.27381912,75.76472568,State Highway,Under Construction,Daylight,Foggy,Police Checkpost,60,Male,22 yr,No license,14,No,Auto-Rickshaw,average,Minor
Tamil Nadu,Vellore,2023,April,27-02-2023 05:51,13.20615606,77.6611798,State Highway,Wet,Dusk,Stormy,Signals,35,Male,23 yr,Valid,96,Yes,Two-Wheeler,bad,Serious
Puducherry,West District-27,2018,July,07-04-2018 23:09,25.03360007,81.14431586,Urban Road,Damaged,Dusk,Rainy,Signals,76,Male,4 months,Valid,85,Yes,Cycle,bad,Fatal
Kerala,East City-33,2018,September,20-02-2018 16:02,19.01540138,93.19359433,Urban Road,Dry,Daylight,Foggy,Signs,25,Female,9 yr,Valid,66,No,Two-Wheeler,bad,Serious
Karnataka,Shimoga,2021,November,01-07-2021 02:46,14.17646965,77.51792906,Urban Road,Dry,Dark,Stormy,Signals,27,Male,11 months,Valid,136,No,Pedestrian,average,Minor
Karnataka,Bangalore,2020,July,02-11-2020 07:14,17.61056305,75.15325007,Urban Road,Dry,Dark,Clear,Signals,34,Male,21 yr,No license,38,Yes,Two-Wheeler,poor,Minor
Arunachal Pradesh,New City-43,2023,November,15-05-2023 13:10,24.30779329,89.88492066,State Highway,Wet,Dawn,Hazy,Signals,31,Female,2 yr,No license,96,Yes,Bus,good,Minor
Rajasthan,Bikaner,2019,August,11-07-2019 02:01,28.01780853,68.20135976,Urban Road,Dry,Dawn,Stormy,Signs,57,Female,1 months,Valid,150,No,Two-Wheeler,medium,Serious
Haryana,Karnal,2021,April,07-07-2021 04:46,28.88358444,77.59370245,State Highway,Wet,Dark,Foggy,Signs,35,Female,29 yr,Expired,55,No,Truck,medium,Minor
Rajasthan,West Port-39,2022,October,17-11-2022 17:15,35.9172003,73.45689891,State Highway,Dry,Dusk,Clear,Signals,22,Male,11 yr,Valid,125,Yes,Cycle,average,Serious
Karnataka,West City-38,2019,May,16-05-2019 07:30,17.18493332,74.37430923,Village Road,Damaged,Dusk,Hazy,Police Checkpost,31,Male,3 months,No license,121,No,Auto-Rickshaw,average,Minor
Haryana,Hisar,2019,December,08-12-2019 21:16,28.82377577,77.32139078,National Highway,Damaged,Dawn,Stormy,Police Checkpost,62,Male,15 yr,Valid,54,Yes,Bus,good,Minor
Maharashtra,Kolhapur-2,2020,April,04-04-2020 02:05,22.96682132,78.96086032,Village Road,Wet,Dark,Rainy,Signs,46,Female,9 yr,Expired,113,No,Pedestrian,medium,Serious
Haryana,Rohtak,2022,May,19-04-2022 00:35,29.13616268,77.22560163,State Highway,Dry,Daylight,Stormy,Signs,53,Male,6 months,Valid,94,Yes,Cycle,bad,Minor
Madhya Pradesh,Bhopal,2020,September,08-02-2020 00:07,20.25924525,75.81272206,National Highway,Dry,Dark,Hazy,Police Checkpost,66,Female,9 months,Expired,143,No,Auto-Rickshaw,poor,Minor
Chhattisgarh,East City-5,2018,October,15-01-2018 21:04,31.25435302,87.9684144,National Highway,Wet,Dawn,Foggy,Police Checkpost,20,Female,23 yr,No license,117,No,Pedestrian,average,Fatal
Nagaland,South City-2,2019,January,25-08-2019 07:51,23.44068392,90.84034056,National Highway,Wet,Dark,Stormy,Police Checkpost,20,Female,8 yr,Valid,27,Yes,Car,good,Fatal
Goa,East City-20,2020,March,06-10-2020 23:49,19.97718192,85.35519324,Village Road,Dry,Dark,Foggy,Police Checkpost,25,Male,2 months,Valid,103,No,Truck,bad,Fatal
Gujarat,North City-10,2020,October,30-08-2020 05:20,23.81675225,72.36838503,Village Road,Wet,Dark,Clear,Signs,69,Male,19 yr,Valid,42,No,Cycle,good,Serious
Tamil Nadu,Madurai,2023,November,06-11-2023 21:27,22.95232848,79.04582808,Urban Road,Under Construction,Dawn,Rainy,Signals,32,Male,5 months,Valid,135,Yes,Two-Wheeler,average,Serious
Tamil Nadu,Central Port-3,2020,November,21-07-2020 21:09,11.27145353,76.84324294,National Highway,Wet,Daylight,Rainy,Signs,26,Female,6 months,Valid,131,No,Truck,medium,Minor
Uttarakhand,South District-20,2023,April,21-08-2023 13:44,35.19436941,89.14552292,State Highway,Wet,Dark,Foggy,Signals,71,Male,8 months,Valid,147,No,Auto-Rickshaw,bad,Minor
Tamil Nadu,Coimbatore,2022,August,03-11-2022 06:53,8.93018993,80.12913966,Urban Road,Damaged,Daylight,Clear,Signals,29,Female,12 yr,Valid,124,Yes,Two-Wheeler,medium,Fatal
Andhra Pradesh,Warangal,2021,May,21-04-2021 06:44,16.33358658,82.1230334,National Highway,Dry,Daylight,Hazy,Signals,68,Male,3 months,Valid,37,No,Truck,good,Minor
Haryana,Faridabad-8,2021,August,04-08-2021 10:54,22.95526379,78.99486759,State Highway,Dry,Dawn,Clear,Police Checkpost,55,Female,13 yr,Valid,20,No,Car,medium,Serious
Madhya Pradesh,West Port-24,2019,September,30-11-2019 17:11,22.21743964,74.76036993,Village Road,Wet,Dawn,Clear,Signs,66,Male,8 yr,Valid,56,No,Bus,average,Serious
Andhra Pradesh,Vijayawada,2022,August,03-11-2022 15:41,16.9634641,83.33220493,State Highway,Under Construction,Dark,Stormy,Signals,44,Female,7 yr,Valid,136,No,Two-Wheeler,bad,Serious
Punjab,Ludhiana,2018,January,02-10-2018 22:05,31.31307087,75.88788869,State Highway,Wet,Dawn,Rainy,Police Checkpost,23,Female,3 months,Valid,127,No,Two-Wheeler,poor,Minor
Haryana,Karnal,2018,November,10-10-2018 01:06,29.49369365,77.02185289,Village Road,Damaged,Dusk,Rainy,Signals,22,Female,17 yr,Valid,135,No,Truck,good,Minor
Haryana,North District-14,2020,June,08-05-2020 22:13,27.31552178,77.22357431,Village Road,Wet,Dark,Rainy,Signs,43,Female,11 months,No license,81,No,Cycle,medium,Minor
Punjab,Jalandhar,2021,February,17-03-2021 19:41,31.92120909,74.87972081,Village Road,Wet,Dusk,Hazy,Police Checkpost,66,Female,21 yr,Expired,116,Yes,Auto-Rickshaw,medium,Serious
Gujarat,New Port-37,2019,February,24-01-2019 09:02,22.57621842,69.00616335,Urban Road,Wet,Daylight,Hazy,Signals,52,Male,1 months,Valid,146,No,Bus,poor,Serious
Jharkhand,North City-23,2018,November,02-02-2018 18:09,23.47701582,81.1417498,Village Road,Dry,Daylight,Hazy,Police Checkpost,69,Male,5 yr,Expired,42,No,Car,poor,Minor
Sikkim,Namchi-3,2021,December,21-12-2021 21:32,27.50883342,88.51355037,National Highway,Wet,Dark,Stormy,Signals,61,Female,13 yr,Expired,28,Yes,Bus,medium,Minor
Arunachal Pradesh,South District-9,2018,June,07-09-2018 21:53,15.37247542,89.12031423,National Highway,Wet,Dusk,Foggy,Signs,46,Female,30 yr,Valid,83,Yes,Pedestrian,medium,Minor
Gujarat,North Town-4,2020,November,27-12-2020 21:33,23.02104586,69.84538588,National Highway,Dry,Dusk,Hazy,Police Checkpost,24,Female,7 months,Valid,107,Yes,Truck,bad,Minor
Karnataka,Hubli,2023,November,05-01-2023 12:57,17.95117883,75.74527109,State Highway,Dry,Dark,Stormy,Signs,59,Female,20 yr,Expired,150,Yes,Cycle,poor,Serious
Jammu and Kashmir,Baramulla-10,2018,July,07-07-2018 14:01,33.7371059,76.55785026,Village Road,Damaged,Dark,Rainy,Police Checkpost,61,Male,4 months,Expired,138,Yes,Auto-Rickshaw,bad,Minor
Delhi,Central District-5,2020,January,04-01-2020 16:17,18.94972415,75.76514492,Village Road,Wet,Dark,Hazy,Signs,29,Male,15 yr,Valid,102,No,Cycle,average,Minor
Kerala,North District-13,2021,September,30-09-2021 11:37,15.30164378,79.46213453,State Highway,Wet,Dawn,Clear,Signs,80,Male,13 yr,Expired,57,Yes,Bus,poor,Minor
Madhya Pradesh,Jabalpur,2021,December,22-09-2021 17:07,26.73182366,79.22771797,Village Road,Dry,Dark,Clear,Signs,36,Female,21 yr,Valid,73,Yes,Bus,average,Serious
Gujarat,Bharuch,2023,May,16-06-2023 10:07,24.52459124,72.70908391,State Highway,Wet,Dark,Foggy,Signals,47,Female,24 yr,Expired,70,Yes,Truck,poor,Minor
Andhra Pradesh,Guntur-11,2021,January,02-01-2021 03:21,23.0073693,78.9687367,State Highway,Under Construction,Dawn,Stormy,Signs,44,Male,8 yr,Valid,48,No,Two-Wheeler,average,Minor
Rajasthan,West Town-1,2018,August,09-03-2018 17:51,30.74941168,74.91190593,State Highway,Dry,Dark,Clear,Signs,19,Female,18 yr,Expired,137,No,Car,good,Serious
Tamil Nadu,West Port-35,2019,May,02-03-2019 00:52,9.58620562,76.7878476,Urban Road,Wet,Daylight,Hazy,Police Checkpost,50,Male,6 months,Valid,97,Yes,Truck,poor,Serious
Kerala,Central District-10,2018,June,10-08-2018 20:28,21.04258001,87.58847299,National Highway,Dry,Dark,Stormy,Police Checkpost,63,Female,6 months,No license,35,Yes,Truck,bad,Minor
Rajasthan,Alwar,2023,October,13-08-2023 01:21,34.61997347,71.01405586,State Highway,Dry,Dawn,Stormy,Signs,33,Male,4 yr,No license,26,Yes,Pedestrian,medium,Minor
Telangana,Mahbubnagar,2019,June,12-03-2019 05:07,18.42272874,81.48392175,Urban Road,Dry,Dusk,Stormy,Signs,72,Male,4 months,Valid,80,Yes,Two-Wheeler,bad,Minor
Tamil Nadu,West City-43,2020,April,17-02-2020 10:49,10.72283664,78.58842497,National Highway,Damaged,Dawn,Clear,Signals,18,Female,9 months,Valid,22,No,Bus,average,Minor
Himachal Pradesh,North Port-30,2021,January,03-06-2021 20:34,22.05643378,79.85639052,State Highway,Damaged,Dark,Rainy,Signs,37,Female,12 yr,Valid,78,Yes,Cycle,good,Minor
Kerala,North Port-5,2021,July,10-08-2021 02:45,11.00323059,93.84564529,National Highway,Dry,Dusk,Rainy,Signals,27,Male,7 yr,Expired,35,Yes,Car,bad,Fatal
Jammu and Kashmir,Central City-37,2020,November,14-08-2020 18:27,17.66630235,68.51453181,Village Road,Dry,Dark,Rainy,Police Checkpost,60,Female,10 months,Valid,58,Yes,Car,good,Minor
Uttarakhand,North City-42,2021,April,01-01-2021 18:47,17.27490608,86.85668659,National Highway,Dry,Daylight,Foggy,Signs,20,Male,22 yr,Valid,16,No,Two-Wheeler,good,Minor
Tamil Nadu,Salem,2021,October,13-09-2021 10:52,13.07590556,78.09618211,National Highway,Dry,Dawn,Stormy,Signals,69,Male,10 months,Valid,67,Yes,Truck,medium,Serious
Himachal Pradesh,Central Port-45,2020,July,15-02-2020 20:45,13.27781446,93.21547079,Village Road,Wet,Daylight,Stormy,Police Checkpost,28,Female,5 months,Valid,58,Yes,Cycle,medium,Minor
Tamil Nadu,Chennai-14,2018,September,08-09-2018 22:57,23.00219987,78.98605273,Urban Road,Damaged,Dawn,Hazy,Signs,27,Female,2 yr,Valid,112,Yes,Cycle,medium,Minor
Odisha,Berhampur-6,2019,October,18-10-2019 09:19,23.04962345,79.00975056,National Highway,Damaged,Daylight,Foggy,Signs,31,Female,8 months,Valid,62,No,Auto-Rickshaw,average,Fatal
Kerala,New Port-4,2018,September,05-09-2018 17:40,19.4459588,80.61934403,National Highway,Under Construction,Dawn,Clear,Signs,42,Female,10 months,Expired,71,No,Two-Wheeler,good,Minor
Gujarat,Gandhinagar,2018,April,26-05-2018 07:23,22.77266143,68.97187847,State Highway,Dry,Dawn,Stormy,Signs,80,Male,21 yr,Valid,26,Yes,Truck,average,Fatal
West Bengal,Durgapur-16,2019,May,20-05-2019 17:46,22.98002625,78.96840702,National Highway,Dry,Dawn,Rainy,Signs,69,Female,14 yr,Expired,34,No,Truck,medium,Minor
Chandigarh,New Town-20,2019,September,14-06-2019 01:34,19.19642674,94.87040406,National Highway,Wet,Dark,Foggy,Police Checkpost,43,Male,1 months,Valid,140,Yes,Two-Wheeler,medium,Fatal
Tamil Nadu,Tirunelveli-5,2018,August,04-08-2018 12:45,23.01987248,79.025494,National Highway,Wet,Dawn,Rainy,Signs,58,Female,4 yr,Expired,38,No,Pedestrian,bad,Fatal
Maharashtra,Solapur,2020,July,24-02-2020 12:09,16.51716368,73.01739129,State Highway,Dry,Dark,Stormy,Signs,53,Male,4 months,Valid,126,Yes,Cycle,poor,Minor
Haryana,Karnal,2018,June,05-02-2018 10:08,29.47465714,76.92635989,National Highway,Damaged,Dusk,Foggy,Signals,53,Male,9 months,Valid,35,Yes,Cycle,medium,Minor
Himachal Pradesh,South Town-16,2020,May,13-01-2020 10:53,11.16208334,90.21006181,Urban Road,Dry,Daylight,Clear,Police Checkpost,42,Female,26 yr,Valid,133,No,Cycle,bad,Serious
Punjab,South Town-25,2021,March,21-07-2021 12:41,31.09382387,76.21794909,National Highway,Wet,Dark,Rainy,Signs,39,Male,4 months,Valid,34,Yes,Cycle,medium,Fatal
Bihar,West City-44,2023,March,24-01-2023 16:42,23.62189661,76.82762863,Village Road,Dry,Daylight,Hazy,Signs,18,Female,5 months,No license,63,Yes,Pedestrian,average,Serious
West Bengal,North City-2,2021,July,26-08-2021 01:19,12.24953477,87.31966236,Village Road,Dry,Dark,Clear,Police Checkpost,34,Female,9 months,Valid,82,Yes,Two-Wheeler,average,Minor
Maharashtra,Mumbai-9,2019,October,06-10-2019 19:01,23.00497539,79.01757322,Urban Road,Under Construction,Dark,Stormy,Signals,35,Female,5 yr,Expired,129,No,Cycle,medium,Fatal
Madhya Pradesh,Ratlam,2019,November,19-10-2019 19:35,22.96479568,78.61300335,State Highway,Wet,Dark,Foggy,Signs,36,Male,3 yr,Expired,65,Yes,Pedestrian,average,Minor
Jharkhand,North City-17,2019,April,03-06-2019 00:34,14.17320113,71.61375077,National Highway,Wet,Dusk,Hazy,Signs,21,Female,29 yr,Valid,74,Yes,Cycle,average,Minor
Punjab,Chandigarh,2021,December,05-07-2021 21:56,30.65813629,75.96340992,Urban Road,Dry,Dark,Clear,Police Checkpost,53,Female,2 yr,Valid,102,No,Two-Wheeler,good,Minor
Haryana,Rohtak,2021,September,19-03-2021 00:32,28.86761099,76.43412786,National Highway,Dry,Daylight,Clear,Police Checkpost,73,Female,22 yr,Valid,95,Yes,Bus,poor,Fatal
Kerala,New District-32,2022,July,26-12-2022 19:12,17.36477787,72.5543232,State Highway,Damaged,Dusk,Foggy,Signals,78,Male,13 yr,Expired,89,Yes,Truck,average,Minor
Assam,Silchar-20,2023,October,11-10-2023 10:13,23.04880985,78.9611209,State Highway,Wet,Dusk,Hazy,Signs,53,Female,6 yr,Valid,117,No,Cycle,average,Fatal
Himachal Pradesh,West City-38,2022,October,16-06-2022 05:26,34.02053779,74.22946977,National Highway,Dry,Daylight,Stormy,Police Checkpost,71,Male,18 yr,Valid,127,No,Two-Wheeler,poor,Fatal
Maharashtra,Nagpur,2019,March,25-09-2019 22:25,20.30960055,78.44251553,Village Road,Wet,Dark,Rainy,Signals,41,Female,4 yr,Valid,92,No,Truck,poor,Fatal
Tripura,New Town-41,2019,March,14-05-2019 03:05,28.78970802,93.32845013,National Highway,Wet,Dawn,Stormy,Signs,43,Male,19 yr,Valid,24,Yes,Two-Wheeler,good,Serious
Karnataka,Belgaum,2023,May,16-09-2023 15:36,15.46494157,75.81486698,National Highway,Dry,Dark,Clear,Police Checkpost,48,Female,30 yr,Valid,140,Yes,Pedestrian,medium,Minor
Chandigarh,New Port-48,2018,October,25-12-2018 07:55,10.16123769,84.06821055,State Highway,Dry,Daylight,Rainy,Signals,76,Male,11 yr,Valid,148,Yes,Bus,good,Serious
Uttar Pradesh,West City-35,2020,August,15-02-2020 08:01,20.84976256,71.35504991,State Highway,Dry,Dawn,Rainy,Police Checkpost,52,Female,3 months,Expired,39,Yes,Auto-Rickshaw,bad,Serious
Maharashtra,Nashik,2022,February,02-04-2022 21:50,19.12486581,75.18674582,State Highway,Dry,Dusk,Foggy,Signs,80,Female,10 months,Valid,66,No,Truck,medium,Serious
Maharashtra,Pune,2021,January,30-12-2021 11:34,15.60839417,78.36656625,National Highway,Under Construction,Daylight,Hazy,Signs,63,Male,7 yr,No license,137,No,Two-Wheeler,good,Minor
