State Name,City Name,Year,Month,datetime,latitude,longitude,Road Type,Road Condition,Lighting Conditions,Weather Conditions,Traffic Control Presence,Driver Age,Driver Gender,driver_experience,Driver License Status,driver_speed_habit(km/h),Alcohol Involvement,Vehicle Type Involved,vehicle_condition,Accident Severity,hour,day_of_week,is_weekend,is_rush_hour,weather_score,road_type_score,road_cond_score,age_score,license_score,alcohol_flag,experience_score,vehicle_condition_score,driver_speed_score,State Name_enc,City Name_enc,Accident Severity_enc,Vehicle Type Involved_enc,Lighting Conditions_enc,Traffic Control Presence_enc,target
Jammu and Kashmir,Anantnag-9,2019,May,2019-05-28 17:10:00,33.8116973,76.56796275,Village Road,Under Construction,Dawn,Foggy,Police Checkpost,45,Female,5 months,Valid,144,No,Two-Wheeler,good,Serious,17,1,0,1,4,2,5,2,1.0,0,5,1,5,11,305,2,6,1,0,1
Telangana,Hyderabad,2019,September,2019-10-06 21:08:00,15.54024893,79.43467344,Village Road,Dry,Dark,Rainy,Signs,59,Female,22 yr,Valid,31,Yes,Two-Wheeler,average,Serious,21,6,1,0,4,2,1,2,1.0,1,1,3,1,27,1484,2,6,0,2,1
Puducherry,Central District-41,2019,April,2019-02-05 20:14:00,18.87692283,89.1756289,State Highway,Wet,Dark,Clear,Signs,40,Female,30 yr,Valid,83,No,Cycle,average,Serious,20,1,0,0,1,4,3,3,1.0,0,1,3,4,22,605,2,3,0,2,1
Arunachal Pradesh,North City-34,2022,April,2022-03-04 21:40:00,32.15391314,91.40475897,Urban Road,Wet,Daylight,Hazy,Signals,39,Male,6 yr,Valid,141,Yes,Two-Wheeler,bad,Serious,21,4,0,0,2,3,3,3,1.0,1,1,5,5,1,2725,2,6,2,1,1
Gujarat,East City-33,2022,December,2022-04-18 21:23:00,23.07496173,70.72804444,National Highway,Dry,Dusk,Clear,Signs,61,Male,7 months,Expired,32,Yes,Auto-Rickshaw,poor,Serious,21,0,0,0,1,5,1,2,2.0,1,4,5,1,8,1042,2,0,3,2,1
Rajasthan,Bikaner,2018,January,2018-06-02 02:52:00,28.95410459,68.66725906,Village Road,Dry,Daylight,Stormy,Signals,35,Female,29 yr,Valid,128,Yes,Truck,poor,Minor,2,5,1,0,5,2,1,3,1.0,1,1,5,5,24,487,1,5,2,1,0
Haryana,Gurgaon,2019,May,2019-02-04 00:44:00,28.92472732,77.58197063,State Highway,Dry,Dawn,Rainy,Signals,41,Male,19 yr,Expired,79,No,Cycle,average,Minor,0,0,0,0,4,4,1,3,2.0,0,1,3,3,9,1328,1,3,1,1,0
Odisha,Berhampur-11,2021,January,2021-01-05 05:52:00,22.99248951,79.0412099,State Highway,Damaged,Dark,Rainy,Signs,61,Male,12 yr,Valid,93,No,Pedestrian,good,Minor,5,1,0,0,4,4,4,2,1.0,0,1,1,4,21,411,1,4,0,2,0
Maharashtra,Aurangabad,2021,September,2021-07-16 00:52:00,19.26175723,73.97170922,State Highway,Wet,Daylight,Hazy,Signals,79,Male,27 yr,Valid,110,Yes,Two-Wheeler,medium,Serious,0,4,0,0,2,4,3,5,1.0,1,1,3,5,16,322,2,6,2,1,1
Maharashtra,Thane-7,2019,January,2019-01-11 14:28:00,23.0173644,79.0342001,Village Road,Wet,Dusk,Rainy,Signals,23,Female,15 yr,Expired,93,No,Car,average,Minor,14,4,0,0,4,2,3,3,2.0,0,1,3,4,16,3810,1,2,3,1,0
Maharashtra,Nagpur,2020,April,2020-10-17 02:24:00,21.40300654,76.30590834,National Highway,Dry,Dawn,Stormy,Signs,19,Male,20 yr,Valid,37,Yes,Car,poor,Minor,2,5,1,0,5,5,1,4,1.0,1,1,5,1,16,2340,1,2,1,2,0
Haryana,East Port-21,2020,November,2020-02-21 13:36:00,28.83492294,76.97117048,Urban Road,Dry,Dark,Stormy,Signs,74,Female,2 months,Expired,145,No,Cycle,medium,Serious,13,4,0,0,5,3,1,1,2.0,0,5,3,5,9,1129,2,3,0,2,1
Manipur,North City-4,2021,January,2021-04-05 13:37:00,19.29134149,73.04702683,National Highway,Dry,Daylight,Clear,Signals,60,Male,1 yr,Valid,10,Yes,Two-Wheeler,average,Minor,13,0,0,0,1,5,1,2,1.0,1,3,3,1,17,2731,1,6,2,1,0
Uttarakhand,South Port-42,2018,August,2018-09-19 07:02:00,32.68380672,70.06814852,Village Road,Wet,Dark,Stormy,Police Checkpost,63,Male,8 months,Expired,72,Yes,Truck,medium,Serious,7,2,0,1,5,2,3,2,2.0,1,4,3,3,30,3691,2,5,0,0,1
Tamil Nadu,Vellore,2021,March,2021-07-22 04:46:00,10.45235617,76.74576862,State Highway,Under Construction,Daylight,Rainy,Signs,19,Female,11 yr,Valid,31,Yes,Cycle,bad,Serious,4,3,0,0,4,4,5,4,1.0,1,1,5,1,26,3974,2,3,2,2,1
Tamil Nadu,Nagercoil,2018,February,2018-12-26 22:35:00,8.44319624,76.311757,Village Road,Dry,Dark,Hazy,Police Checkpost,75,Male,9 yr,Expired,79,Yes,Car,medium,Minor,22,2,0,0,2,2,1,5,2.0,1,1,3,3,26,2339,1,2,0,0,0
Manipur,Imphal-53,2021,July,2021-07-03 16:37:00,23.02401388,78.99071841,National Highway,Wet,Daylight,Stormy,Signs,45,Male,13 yr,Valid,134,Yes,Cycle,bad,Minor,16,5,1,0,5,5,3,2,1.0,1,1,5,5,17,1624,1,3,2,2,0
Nagaland,North Town-47,2021,September,2021-06-19 01:27:00,28.77999349,72.68546648,National Highway,Wet,Dawn,Stormy,Signs,47,Female,18 yr,Valid,105,Yes,Truck,bad,Serious,1,5,1,0,5,5,3,2,1.0,1,1,5,5,20,2889,2,5,1,2,1
Nagaland,East Port-47,2022,February,2022-12-04 07:09:00,33.85637075,88.94141449,National Highway,Under Construction,Dark,Rainy,Signals,30,Male,6 yr,Valid,88,No,Cycle,medium,Serious,7,6,1,1,4,5,5,3,1.0,0,1,3,4,20,1157,2,3,0,1,1
Madhya Pradesh,Bhopal,2021,June,2021-08-08 11:18:00,24.81820003,80.2916215,Urban Road,Wet,Dark,Foggy,Signals,69,Female,14 yr,Valid,14,No,Two-Wheeler,bad,Serious,11,6,1,0,4,3,3,1,1.0,0,1,5,1,15,446,2,6,0,1,1
Maharashtra,Pune-5,2023,May,2023-05-06 21:07:00,23.01835781,78.9668265,National Highway,Damaged,Daylight,Rainy,Signals,60,Female,6 yr,Valid,69,Yes,Bus,good,Minor,21,5,1,0,4,5,4,2,1.0,1,1,1,3,16,3189,1,1,2,1,0
Mizoram,Central Town-44,2018,January,2018-08-15 06:13:00,29.69703399,86.16830715,State Highway,Wet,Dawn,Clear,Police Checkpost,32,Female,27 yr,Valid,129,Yes,Car,bad,Serious,6,2,0,0,1,4,3,3,1.0,1,1,5,5,19,708,2,2,1,0,1
Karnataka,Hubli,2022,December,2022-05-28 07:13:00,11.9188334,74.12846158,Village Road,Dry,Dawn,Hazy,Police Checkpost,56,Male,22 yr,Valid,55,Yes,Auto-Rickshaw,poor,Fatal,7,5,1,1,2,2,1,2,1.0,1,1,5,2,13,1483,0,0,1,0,2
Maharashtra,Nashik,2020,April,2020-04-25 13:27:00,17.16810676,74.84779504,State Highway,Dry,Daylight,Rainy,Signals,26,Male,25 yr,No license,143,No,Bus,bad,Minor,13,5,1,0,4,4,1,3,3.0,0,1,5,5,16,2404,1,1,2,1,0
Punjab,West Town-28,2023,January,2023-09-07 17:51:00,31.72952982,74.01816769,Village Road,Dry,Dawn,Stormy,Police Checkpost,54,Female,4 yr,Valid,65,Yes,Two-Wheeler,good,Serious,17,3,0,1,5,2,1,2,1.0,1,2,1,3,23,4193,2,6,1,0,1
Telangana,Nizamabad,2022,May,2022-04-09 09:51:00,18.2974246,80.43868354,Urban Road,Damaged,Dusk,Foggy,Signs,61,Male,13 yr,Valid,119,No,Bus,bad,Minor,9,5,1,1,4,3,4,2,1.0,0,1,5,5,27,2666,1,1,3,2,0
Tamil Nadu,Central City-14,2018,May,2018-02-23 15:20:00,10.16335918,77.17588428,Urban Road,Wet,Dawn,Clear,Police Checkpost,61,Female,29 yr,Expired,113,No,Auto-Rickshaw,bad,Serious,15,4,0,0,1,3,3,2,2.0,0,1,5,5,26,526,2,0,1,0,1
Puducherry,Puducherry-74,2023,October,2023-10-02 10:36:00,22.9743143,79.02328815,Urban Road,Dry,Dusk,Clear,Police Checkpost,51,Male,2 yr,Valid,86,Yes,Pedestrian,medium,Serious,10,0,0,0,1,3,1,2,1.0,1,2,3,4,22,3156,2,4,3,0,1
Andhra Pradesh,Central Port-8,2021,June,2021-08-23 17:17:00,15.58539232,78.12020595,State Highway,Under Construction,Daylight,Clear,Signals,36,Female,11 yr,Valid,11,Yes,Bus,medium,Serious,17,0,0,1,1,4,5,3,1.0,1,1,3,1,0,668,2,1,2,1,1
Rajasthan,Jodhpur,2018,June,2018-08-12 15:50:00,25.15379544,77.22499648,National Highway,Wet,Dawn,Clear,Police Checkpost,23,Female,5 yr,Valid,17,Yes,Car,bad,Minor,15,6,1,0,1,5,3,3,1.0,1,1,5,1,24,1847,1,2,1,0,0
Kerala,North District-45,2019,January,2019-01-01 19:43:00,27.82794544,68.33628075,National Highway,Damaged,Daylight,Rainy,Police Checkpost,45,Male,10 months,Valid,84,Yes,Car,poor,Minor,19,1,0,1,4,5,4,2,1.0,1,4,5,4,14,2787,1,2,2,0,0
Gujarat,Bharuch,2018,October,2018-04-06 16:00:00,22.93852938,70.24937473,State Highway,Dry,Dawn,Foggy,Signals,77,Male,17 yr,Valid,134,No,Two-Wheeler,bad,Serious,16,4,0,0,4,4,1,5,1.0,0,1,5,5,8,445,2,6,1,1,1
Madhya Pradesh,South City-14,2020,December,2020-12-03 19:12:00,23.38930614,81.60476576,Village Road,Dry,Dawn,Foggy,Signals,68,Male,6 months,Valid,47,No,Cycle,poor,Serious,19,3,0,1,4,2,1,1,1.0,0,4,5,2,15,3560,2,3,1,1,1
Gujarat,Ahmedabad,2023,September,2023-04-13 07:31:00,20.56396416,72.16135734,Village Road,Dry,Dusk,Rainy,Police Checkpost,36,Male,25 yr,Valid,36,Yes,Car,medium,Minor,7,3,0,1,4,2,1,3,1.0,1,1,3,1,8,86,1,2,3,0,0
Tamil Nadu,Salem-7,2020,October,2020-10-12 09:51:00,23.02898913,78.97001894,Urban Road,Dry,Daylight,Rainy,Signals,62,Male,10 yr,Valid,29,No,Car,bad,Minor,9,0,0,1,4,3,1,2,1.0,0,1,5,1,26,3466,1,2,2,1,0
Jharkhand,New District-28,2021,December,2021-03-29 20:47:00,25.22175223,86.28422564,National Highway,Dry,Daylight,Clear,Police Checkpost,59,Male,9 months,Valid,149,No,Truck,bad,Fatal,20,0,0,0,1,5,1,2,1.0,0,4,5,5,12,2538,0,5,2,0,2
Gujarat,Rajkot,2023,December,2023-03-17 09:18:00,24.06766547,72.46533879,National Highway,Dry,Dark,Rainy,Signals,19,Female,1 yr,Valid,52,Yes,Truck,poor,Serious,9,4,0,1,4,5,1,4,1.0,1,3,5,2,8,3230,2,5,0,1,1
Chhattisgarh,New City-11,2023,August,2023-10-19 19:27:00,22.04537086,92.19494321,National Highway,Dry,Dawn,Foggy,Police Checkpost,22,Male,4 months,No license,40,No,Cycle,medium,Serious,19,3,0,1,4,5,1,3,3.0,0,5,3,1,5,2434,2,3,1,0,1
Tripura,New Town-14,2021,May,2021-07-13 13:22:00,16.32767815,74.8752198,State Highway,Wet,Dawn,Rainy,Signals,51,Male,13 yr,Valid,100,Yes,Truck,average,Serious,13,1,0,0,4,4,3,2,1.0,1,1,3,4,28,2622,2,5,1,1,1
Chandigarh,Chandigarh-64,2023,July,2023-07-22 23:00:00,23.00420326,79.00595371,State Highway,Damaged,Dark,Foggy,Police Checkpost,22,Male,6 yr,Expired,70,No,Auto-Rickshaw,medium,Minor,23,5,1,0,4,4,4,3,2.0,0,1,3,3,4,780,1,0,0,0,0
Madhya Pradesh,West City-7,2022,September,2022-05-28 04:01:00,26.40410893,77.17563914,Urban Road,Wet,Dark,Clear,Signs,69,Male,30 yr,Valid,118,Yes,Two-Wheeler,medium,Minor,4,5,1,0,1,3,3,1,1.0,1,1,3,5,15,4072,1,6,0,2,0
Arunachal Pradesh,East Port-40,2023,August,2023-07-13 03:50:00,30.32602134,88.87194439,Urban Road,Wet,Daylight,Stormy,Police Checkpost,24,Male,7 months,Valid,100,Yes,Truck,average,Minor,3,3,0,0,5,3,3,3,1.0,1,4,3,4,1,1150,1,5,2,0,0
Assam,Dibrugarh-17,2021,July,2021-07-04 19:12:00,23.04007196,78.99838513,Village Road,Damaged,Dawn,Rainy,Signs,32,Male,9 months,Valid,104,Yes,Auto-Rickshaw,poor,Serious,19,6,1,1,4,2,4,3,1.0,1,4,5,5,2,926,2,0,1,2,1
Assam,West Port-40,2019,October,2019-03-31 00:32:00,16.55160105,94.31332619,Urban Road,Under Construction,Dawn,Clear,Signals,50,Female,7 yr,Valid,22,Yes,Car,good,Serious,0,6,1,0,1,3,5,2,1.0,1,1,1,1,2,4159,2,2,1,1,1
Rajasthan,South Port-11,2021,May,2021-09-04 05:14:00,36.73311439,71.20480151,State Highway,Dry,Dark,Rainy,Police Checkpost,33,Female,13 yr,Valid,122,Yes,Truck,poor,Minor,5,5,1,0,4,4,1,3,1.0,1,1,5,5,24,3657,1,5,0,0,0
Uttarakhand,Dehradun-23,2019,September,2019-09-16 05:24:00,22.98049001,79.01745465,Village Road,Dry,Dawn,Clear,Signals,45,Male,4 yr,Valid,44,No,Pedestrian,bad,Minor,5,0,0,0,1,2,1,2,1.0,0,2,5,2,30,883,1,4,1,1,0
Haryana,Karnal,2019,September,2019-05-27 05:39:00,27.54527905,77.25987759,Urban Road,Dry,Dawn,Rainy,Police Checkpost,21,Female,11 months,No license,57,Yes,Two-Wheeler,medium,Minor,5,0,0,0,4,3,1,3,3.0,1,4,3,2,9,1918,1,6,1,0,0
Telangana,New City-29,2023,December,2023-12-10 18:05:00,16.47818063,79.1872977,National Highway,Dry,Dusk,Stormy,Police Checkpost,58,Female,2 months,Expired,44,Yes,Two-Wheeler,poor,Minor,18,6,1,1,5,5,1,2,2.0,1,5,5,2,27,2453,1,6,3,0,0
Madhya Pradesh,Ujjain,2018,October,2018-01-31 08:28:00,21.75590225,79.42371233,State Highway,Dry,Dark,Foggy,Signals,40,Female,1 yr,No license,95,Yes,Two-Wheeler,poor,Minor,8,2,0,1,4,4,1,3,3.0,1,3,5,4,15,3928,1,6,0,1,0
Madhya Pradesh,Ujjain-10,2021,August,2021-08-26 07:36:00,22.96257766,79.02520264,State Highway,Damaged,Dusk,Foggy,Signs,67,Male,1 yr,Valid,123,Yes,Cycle,average,Minor,7,3,0,1,4,4,4,1,1.0,1,3,3,5,15,3929,1,3,3,2,0
Andhra Pradesh,Nellore,2018,March,2018-12-16 03:33:00,13.75332482,81.20383241,National Highway,Wet,Daylight,Foggy,Signs,74,Female,9 months,No license,109,No,Two-Wheeler,average,Serious,3,6,1,0,4,5,3,1,3.0,0,4,3,5,0,2415,2,6,2,2,1
Odisha,Berhampur-23,2022,June,2022-06-23 19:06:00,22.99268677,78.96434173,Village Road,Under Construction,Dawn,Foggy,Signs,28,Male,14 yr,Expired,108,Yes,Truck,good,Fatal,19,3,0,1,4,2,5,3,2.0,1,1,1,5,21,424,0,5,1,2,2
Tamil Nadu,North Port-11,2020,August,2020-04-11 05:09:00,9.21425443,78.17780512,Village Road,Dry,Dusk,Hazy,Police Checkpost,61,Female,17 yr,Valid,12,Yes,Pedestrian,medium,Serious,5,5,1,0,2,2,1,2,1.0,1,1,3,1,26,2800,2,4,3,0,1
Punjab,West City-24,2023,December,2023-05-13 18:50:00,30.63343985,74.98866251,State Highway,Wet,Daylight,Foggy,Signs,33,Female,10 yr,Expired,94,Yes,Auto-Rickshaw,good,Serious,18,5,1,1,4,4,3,3,2.0,1,1,1,4,23,4041,2,0,2,2,1
Haryana,Hisar,2023,September,2023-01-25 21:12:00,28.22683152,76.81624568,National Highway,Wet,Dark,Hazy,Signs,33,Female,11 yr,No license,134,Yes,Two-Wheeler,poor,Serious,21,2,0,0,2,5,3,3,3.0,1,1,5,5,9,1447,2,6,0,2,1
Chhattisgarh,New Town-37,2022,January,2022-12-25 02:44:00,31.18649952,90.47579944,State Highway,Wet,Dark,Hazy,Signs,38,Female,5 months,Valid,147,Yes,Pedestrian,medium,Minor,2,6,1,0,2,4,3,3,1.0,1,5,3,5,5,2647,1,4,0,2,0
Mizoram,West District-17,2021,July,2021-06-16 03:15:00,31.43862951,89.5258289,National Highway,Damaged,Dusk,Rainy,Police Checkpost,32,Female,4 months,Valid,92,No,Two-Wheeler,medium,Minor,3,2,0,0,4,5,4,3,1.0,0,5,3,4,19,4083,1,6,3,0,0
Assam,East District-18,2021,January,2021-09-22 07:11:00,16.19753313,77.14704741,National Highway,Dry,Dawn,Hazy,Signs,42,Male,7 yr,Valid,34,Yes,Cycle,medium,Fatal,7,2,0,1,2,5,1,3,1.0,1,1,3,1,2,1075,0,3,1,2,2
Tamil Nadu,Kanyakumari,2023,January,2023-05-13 01:39:00,8.77535489,78.0335954,Urban Road,Dry,Dusk,Clear,Signs,73,Male,4 yr,Valid,77,No,Cycle,good,Serious,1,5,1,0,1,3,1,1,1.0,0,2,1,3,26,1916,2,3,3,2,1
Tripura,Central Port-40,2022,August,2022-06-14 22:10:00,31.94692764,71.88480599,Village Road,Under Construction,Dawn,Rainy,Police Checkpost,62,Male,4 yr,Valid,70,No,Auto-Rickshaw,medium,Serious,22,1,0,0,4,2,5,2,1.0,0,2,3,3,28,654,2,0,1,0,1
Punjab,Patiala-5,2021,March,2021-03-10 17:57:00,23.02039842,79.03887124,State Highway,Damaged,Dusk,Hazy,Signs,54,Male,13 yr,Valid,38,No,Truck,good,Serious,17,2,0,1,2,4,4,2,1.0,0,1,1,1,23,3047,2,5,3,2,1
Kerala,West Town-9,2018,October,2018-01-01 22:20:00,18.83652091,73.88557789,National Highway,Damaged,Dark,Hazy,Signs,49,Male,1 yr,Valid,136,No,Truck,bad,Fatal,22,0,0,0,2,5,4,2,1.0,0,3,5,5,14,4222,0,5,0,2,2
Haryana,Gurgaon,2021,December,2021-11-11 07:27:00,28.36132891,76.56562681,National Highway,Wet,Dark,Foggy,Police Checkpost,67,Female,8 months,Valid,28,No,Cycle,bad,Serious,7,3,0,1,4,5,3,1,1.0,0,4,5,1,9,1328,2,3,0,0,1
Gujarat,Ahmedabad-7,2022,December,2022-12-26 11:41:00,23.01562108,79.02839042,Urban Road,Damaged,Dark,Foggy,Signals,57,Female,7 months,No license,83,Yes,Auto-Rickshaw,poor,Fatal,11,0,0,0,4,3,4,2,3.0,1,4,5,4,8,103,0,0,0,1,2
Telangana,New Port-27,2018,August,2018-11-05 09:51:00,18.22366766,80.38707798,National Highway,Damaged,Dawn,Stormy,Signs,59,Female,26 yr,Valid,70,Yes,Bus,good,Fatal,9,0,0,1,5,5,4,2,1.0,1,1,1,3,27,2586,0,1,1,2,2
Telangana,Mahbubnagar,2019,October,2019-03-03 05:36:00,17.73760399,80.62598086,State Highway,Dry,Dusk,Foggy,Signals,66,Female,2 months,No license,29,Yes,Two-Wheeler,poor,Serious,5,6,1,0,4,4,1,1,3.0,1,5,5,1,27,2199,2,6,3,1,1
Himachal Pradesh,North District-23,2020,October,2020-03-08 07:17:00,19.84317798,85.76578891,National Highway,Dry,Dark,Foggy,Signs,19,Female,8 months,Expired,57,Yes,Two-Wheeler,good,Minor,7,6,1,1,4,5,1,4,2.0,1,4,1,2,10,2763,1,6,0,2,0
Telangana,Central Port-21,2020,July,2020-05-23 13:45:00,17.83685563,81.20235433,National Highway,Dry,Dark,Hazy,Signals,37,Male,4 months,Valid,96,No,Truck,good,Minor,13,5,1,0,2,5,1,3,1.0,0,5,1,4,27,633,1,5,0,1,0
Rajasthan,Jaipur,2019,September,2019-08-11 20:42:00,28.8724619,72.88357334,Urban Road,Wet,Dawn,Foggy,Signals,52,Female,13 yr,Valid,148,Yes,Auto-Rickshaw,bad,Minor,20,6,1,0,4,3,3,2,1.0,1,1,5,5,24,1776,1,0,1,1,0
Andhra Pradesh,West Town-28,2023,November,2023-06-21 23:36:00,16.25964656,78.7366126,Village Road,Dry,Dusk,Hazy,Signals,24,Female,15 yr,No license,119,Yes,Cycle,poor,Minor,23,2,0,0,2,2,1,3,3.0,1,1,5,5,0,4193,1,3,3,1,0
Gujarat,Vadodara-16,2019,March,2019-03-09 02:41:00,23.00064683,79.02162796,Village Road,Under Construction,Dusk,Stormy,Police Checkpost,51,Female,7 yr,Expired,37,No,Bus,bad,Minor,2,5,1,0,5,2,5,2,2.0,0,1,5,1,8,3951,1,1,3,0,0
Telangana,Khammam,2022,May,2022-06-29 01:40:00,16.55184374,80.19642765,Urban Road,Dry,Dark,Clear,Police Checkpost,22,Male,9 months,Valid,68,Yes,Two-Wheeler,good,Minor,1,2,0,0,1,3,1,3,1.0,1,4,1,3,27,1919,1,6,0,0,0
Madhya Pradesh,Bhopal,2023,May,2023-01-04 15:42:00,26.17858256,81.28265889,Urban Road,Wet,Dusk,Stormy,Signals,19,Male,2 yr,Valid,142,Yes,Auto-Rickshaw,good,Fatal,15,2,0,0,5,3,3,4,1.0,1,2,1,5,15,446,0,0,3,1,2
Andhra Pradesh,Kakinada,2020,October,2020-06-01 12:01:00,18.12077106,77.91629318,Village Road,Dry,Dark,Hazy,Signs,73,Male,5 yr,Valid,60,Yes,Truck,average,Minor,12,0,0,0,2,2,1,1,1.0,1,1,3,2,0,1905,1,5,0,2,0
Gujarat,Vadodara,2023,January,2023-03-18 18:15:00,23.46340241,72.85657855,State Highway,Wet,Daylight,Stormy,Signs,50,Male,5 months,Valid,21,No,Bus,poor,Minor,18,5,1,1,5,4,3,2,1.0,0,5,5,1,8,3944,1,1,2,2,0
Telangana,North District-43,2022,December,2022-10-24 23:07:00,16.00359897,78.07433546,Village Road,Wet,Dawn,Hazy,Police Checkpost,51,Female,3 months,Expired,59,Yes,Truck,poor,Serious,23,0,0,0,2,2,3,2,2.0,1,5,5,2,27,2785,2,5,1,0,1
Haryana,Rohtak,2021,March,2021-03-05 16:17:00,29.02448356,77.29956434,Urban Road,Wet,Dusk,Clear,Police Checkpost,76,Male,7 months,Valid,141,Yes,Truck,bad,Minor,16,4,0,0,1,3,3,5,1.0,1,4,5,5,9,3430,1,5,3,0,0
Arunachal Pradesh,South City-1,2018,December,2018-11-09 15:18:00,20.52752299,82.46108559,Village Road,Dry,Daylight,Clear,Police Checkpost,62,Male,27 yr,Valid,122,No,Pedestrian,good,Minor,15,4,0,0,1,2,1,2,1.0,0,1,1,5,1,3555,1,4,2,0,0
Manipur,Central District-44,2018,May,2018-03-20 13:55:00,12.43879133,72.64491759,National Highway,Dry,Dark,Stormy,Signals,25,Male,11 months,Valid,23,No,Truck,average,Minor,13,1,0,0,5,5,1,3,1.0,0,4,3,1,17,608,1,5,0,1,0
Karnataka,Belgaum,2021,January,2021-07-18 09:18:00,13.4809952,74.38082002,Village Road,Dry,Dusk,Clear,Signals,49,Male,2 yr,Valid,41,Yes,Bus,bad,Minor,9,6,1,1,1,2,1,2,1.0,1,2,5,2,13,389,1,1,3,1,0
Nagaland,East City-19,2022,February,2022-10-04 10:51:00,19.00294351,73.11878002,Urban Road,Wet,Dawn,Foggy,Police Checkpost,40,Female,20 yr,Valid,148,No,Bus,poor,Minor,10,1,0,0,4,3,3,3,1.0,0,1,5,5,20,1026,1,1,1,0,0
Gujarat,North District-36,2023,October,2023-03-01 00:16:00,24.57830072,68.8941235,Village Road,Dry,Dark,Foggy,Police Checkpost,49,Male,26 yr,Valid,64,No,Auto-Rickshaw,good,Fatal,0,2,0,0,4,2,1,2,1.0,0,1,1,3,8,2777,0,0,0,0,2
Uttar Pradesh,West Town-43,2022,July,2022-04-26 04:50:00,21.63891983,70.23122612,State Highway,Dry,Dusk,Rainy,Police Checkpost,28,Female,8 yr,Valid,129,Yes,Two-Wheeler,good,Minor,4,1,0,0,4,4,1,3,1.0,1,1,1,5,29,4210,1,6,3,0,0
Manipur,South City-45,2020,July,2020-09-12 08:30:00,33.37027783,81.48513836,Urban Road,Wet,Dusk,Rainy,Signals,57,Female,10 yr,Valid,84,Yes,Cycle,poor,Minor,8,5,1,1,4,3,3,2,1.0,1,1,5,4,17,3594,1,3,3,1,0
Bihar,North Port-35,2020,July,2020-05-05 11:03:00,31.08185846,94.12194411,National Highway,Dry,Daylight,Foggy,Police Checkpost,42,Female,3 yr,Valid,30,Yes,Two-Wheeler,medium,Minor,11,1,0,0,4,5,1,3,1.0,1,2,3,1,3,2826,1,6,2,0,0
Uttarakhand,East Town-6,2023,April,2023-10-08 03:21:00,17.86651774,96.82498121,Village Road,Wet,Dawn,Clear,Police Checkpost,27,Male,4 yr,Valid,142,Yes,Cycle,average,Serious,3,6,1,0,1,2,3,3,1.0,1,2,3,5,30,1212,2,3,1,0,1
Punjab,Jalandhar,2022,May,2022-05-19 23:26:00,31.30715136,74.13336005,National Highway,Dry,Dark,Stormy,Signs,57,Female,9 months,Valid,96,Yes,Bus,medium,Minor,23,3,0,0,5,5,1,2,1.0,1,4,3,4,23,1799,1,1,0,2,0
Tamil Nadu,Tiruchirappalli,2021,March,2021-12-10 15:22:00,13.00018529,76.99728825,State Highway,Dry,Daylight,Hazy,Signs,51,Female,10 months,Valid,68,Yes,Cycle,average,Fatal,15,4,0,0,2,4,1,2,1.0,1,4,3,3,26,3864,0,3,2,2,2
Kerala,Thiruvananthapuram-13,2021,August,2021-08-16 13:53:00,23.01956219,79.00221025,National Highway,Under Construction,Dark,Clear,Signs,41,Female,10 yr,Expired,98,Yes,Auto-Rickshaw,medium,Fatal,13,0,0,0,1,5,5,3,2.0,1,1,3,4,14,3817,0,0,0,2,2
Tamil Nadu,Nagercoil,2020,July,2020-04-11 16:11:00,10.85759822,79.34485222,Urban Road,Dry,Dusk,Rainy,Signs,62,Female,15 yr,Valid,92,No,Bus,good,Fatal,16,5,1,0,4,3,1,2,1.0,0,1,1,4,26,2339,0,1,3,2,2
Punjab,Ludhiana,2020,November,2020-01-18 22:23:00,30.702069,75.47045533,National Highway,Dry,Daylight,Hazy,Signals,22,Male,30 yr,Valid,74,No,Two-Wheeler,poor,Minor,22,5,1,0,2,5,1,3,1.0,0,1,5,3,23,2161,1,6,2,1,0
Arunachal Pradesh,Central City-29,2022,May,2022-09-16 23:02:00,22.31433302,80.48406354,Village Road,Dry,Dark,Rainy,Police Checkpost,51,Male,8 months,Expired,73,Yes,Two-Wheeler,medium,Serious,23,4,0,0,4,2,1,2,2.0,1,4,3,3,1,542,2,6,0,0,1
Mizoram,North City-46,2019,November,2019-04-08 19:38:00,14.45321777,75.31227187,State Highway,Damaged,Dusk,Rainy,Signals,65,Male,8 yr,Valid,80,Yes,Two-Wheeler,medium,Minor,19,0,0,1,4,4,4,1,1.0,1,1,3,3,19,2738,1,6,3,1,0
Rajasthan,Central District-50,2018,May,2018-06-02 21:46:00,36.00339527,73.16212195,State Highway,Dry,Dusk,Stormy,Signs,66,Female,20 yr,Valid,13,Yes,Bus,medium,Minor,21,5,1,0,5,4,1,1,1.0,1,1,3,1,24,615,1,1,3,2,0
Maharashtra,West Town-3,2021,March,2021-01-05 13:52:00,19.98490185,72.80924931,National Highway,Wet,Dusk,Stormy,Police Checkpost,65,Female,2 months,Valid,113,Yes,Truck,good,Serious,13,1,0,0,5,5,3,1,1.0,1,5,1,5,16,4195,2,5,3,0,1
Delhi,East City-40,2019,February,2019-07-25 10:05:00,22.26350825,89.0818682,Village Road,Dry,Dusk,Stormy,Police Checkpost,36,Female,3 yr,Valid,102,No,Car,bad,Fatal,10,3,0,0,5,2,1,3,1.0,0,2,5,5,6,1050,0,2,3,0,2
